trial,lr,max_iters,tol,patience,seed,train_mse,val_mse
1,0.0001,2000,1e-08,150,0,15.816258,15.969606
2,0.0001,5000,1e-08,150,0,5.148298,5.160319
3,0.0001,10000,1e-08,150,0,1.168179,1.154784
4,0.0003,2000,1e-08,150,0,3.630741,3.629920
5,0.0003,5000,1e-08,150,0,0.624954,0.614368
6,0.0003,10000,1e-08,150,0,0.536449,0.530391
7,0.001,2000,1e-08,150,0,0.549454,0.541653
8,0.001,5000,1e-08,150,0,0.535620,0.529435
9,0.001,10000,1e-08,150,0,0.535399,0.528804
10,0.003,2000,1e-08,150,0,0.535547,0.529223
11,0.003,5000,1e-08,150,0,0.535302,0.528528
12,0.003,10000,1e-08,150,0,0.535213,0.528152
13,0.01,2000,1e-08,150,0,0.535252,0.528350
14,0.01,5000,1e-08,150,0,0.535200,0.528014
15,0.01,10000,1e-08,150,0,0.535199,0.527978
